Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
;B2M;;BETA 2 MICROGLOBULINA;SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/l;de 0,8 a 2,2;;;;
BCROSS;CTX;Beta CrossLaps;Beta CrossLaps;SUERO;0;No;Si;Si;Electroquimioluminiscencia;pg/ml;Hombres 30-50 años 16-584 pg/ml  51-70 años 10-704 pg/ml  > 70 años 20-854 pg/ml  Mujeres Premenopausia 25-573 pg/ml.  Postmenopausia 104-1008;;;;
;664;;Beta CrossLaps;SUERO;0;Si;Si;Si;Electroquimioluminiscencia;pg/ml;Hombres 30-50 años 16-584 pg/ml  51-70 años 10-704 pg/ml  > 70 años 20-854 pg/ml  Mujeres Premenopausia 25-573 pg/ml.  Postmenopausia 104-1008;;;;
SBR-L;294;BETA HCG LIBRE PLASMATICA;G.C.H. SUB-UNIDAD BETA LIBRE;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Semana de embarazo 10 - Mediana 65.92 ng/ml  Semana de embarazo 11 - Mediana 52.90 ng/ml  Semana de embarazo 12 - Mediana 42.45 ng/ml  Semana de embarazo 13 - Mediana 34.07 ng/ml  Semana de embarazo 14 - Mediana 26.50;;;;
;BHL;;G.C.H. SUB-UNIDAD BETA LIBRE;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Semana de embarazo 10 - Mediana 65.92 ng/ml  Semana de embarazo 11 - Mediana 52.90 ng/ml  Semana de embarazo 12 - Mediana 42.45 ng/ml  Semana de embarazo 13 - Mediana 34.07 ng/ml  Semana de embarazo 14 - Mediana 26.50;;;;
C125;C125;CA 125 (ovario);ANTIG.CARBOHIDRATO MARCADOR CA 125;SUERO;0;No;Si;Si;Quimioluminiscencia;U/ml;hasta 30,20;;;;
;994;;ANTIG.CARBOHIDRATO MARCADOR CA 125;SUERO;0;Si;Si;Si;Quimioluminiscencia;U/ml;hasta 30,20;;;;
C15;993;CA 15/3 (mama);ANTIG.CARBOHIDRATO MARCADOR CA-15/3;SUERO;0;Si;Si;Si;Quimioluniniscencia;U/ml.;Hasta 32.4;;;;
;C153;;ANTIG.CARBOHIDRATO MARCADOR CA-15/3;SUERO;0;No;Si;Si;Quimioluniniscencia;U/ml.;Hasta 32.4;;;;
C19;992;CA 19/9 (Digest.Ginecolog.);ANTIG.CARBOHIDRATO MARCADOR CA 19-9;SUERO;0;Si;Si;Si;Quimioluminiscencia;U/ml;hasta 37,00;;;;
;C199;;ANTIG.CARBOHIDRATO MARCADOR CA 19-9;SUERO;0;No;Si;Si;Quimioluminiscencia;U/ml;hasta 37,00;;;;
C72;991;CA 72-4;CA 72-4;SUERO;0;Si;Si;Si;Electroquimioluminiscencia;U/ml;hasta 4.00;;;;
